country,2005_Spend,2015_Spend
Australia,9200,11100
Belgium,9500,12300
Chile,3200,4500
Czech Republic,5200,7300
Estonia,5400,6900
Finland,8000,10100
France,8600,10000
Germany,8300,11100
Greece.,6300,6200
Hungary,5300,6000
Iceland,16300,11600
Ireland,7300,8700
Italy,8500,9100
Japan,7700,10200
"Korea, Republic of",7500,12000
Latvia,4700,7000
Mexico,3300,3300
Netherlands,9300,11100
Norway,12600,15100
Poland,4000,6800
Portugal,6700,8700
Slovak Republic,3500,6800
Slovenia,8600,8500
Spain,7700,8300
Sweden,8800,11400
United Kingdom,10000,11400
United States,12300,12800
